Time Stamp,Count
0.0,0.0
0.2,1.0
0.4,1.0
0.6,1.0
0.8,1.0
1.0,1.0
1.2,1.0
1.4,1.0
1.6,1.0
1.8,1.0
2.0,1.0
2.2,1.0
2.4,1.0
2.6,1.0
2.8,1.0
3.0,1.0
3.2,1.0
3.4,1.0
3.6,1.0
3.8,1.0
4.0,1.0
4.2,1.0
4.4,1.0
4.6,1.0
4.8,1.0
5.0,1.0
5.2,1.0
5.4,1.0
5.6,1.0
5.8,1.0
6.0,1.0
6.2,1.0
6.4,1.0
6.6,1.0
6.8,1.0
7.0,1.0
7.2,1.0
7.4,1.0
7.6,1.0
7.8,1.0
8.0,1.0
8.2,1.0
8.4,1.0
8.6,1.0
8.8,1.0
9.0,1.0
9.2,1.0
9.4,1.0
9.6,1.0
9.8,1.0
10.0,1.0
10.2,1.0
10.4,1.0
10.6,1.0
10.8,1.0
11.0,1.0
11.2,1.0
11.4,1.0
11.6,1.0
11.8,1.0
12.0,1.0
12.2,1.0
12.4,1.0
12.6,1.0
12.8,1.0
13.0,1.0
13.2,1.0
13.4,1.0
13.6,1.0
13.8,1.0
14.0,1.0
14.2,1.0
14.4,1.0
14.6,1.0
14.8,1.0
15.0,1.0
15.2,1.0
15.4,1.0
15.6,1.0
15.8,1.0
16.0,1.0
16.2,1.0
16.4,1.0
16.6,1.0
16.8,1.0
17.0,1.0
17.2,1.0
17.4,1.0
17.6,1.0
17.8,1.0
18.0,1.0
18.2,1.0
18.4,1.0
18.6,1.0
18.8,1.0
19.0,1.0
19.2,1.0
19.4,1.0
19.6,1.0
19.8,1.0
20.0,1.0
20.2,1.0
20.4,1.0
20.6,1.0
20.8,1.0
21.0,1.0
21.2,1.0
21.4,1.0
21.6,1.0
21.8,1.0
22.0,1.0
22.2,1.0
22.4,1.0
22.6,1.0
22.8,1.0
23.0,1.0
23.2,1.0
23.4,1.0
23.6,1.0
23.8,1.0
24.0,1.0
24.2,1.0
24.4,1.0
24.6,1.0
24.8,1.0
25.0,1.0
25.2,1.0
25.4,1.0
25.6,1.0
25.8,1.0
26.0,1.0
26.2,1.0
26.4,1.0
26.6,1.0
26.8,1.0
27.0,1.0
27.2,1.0
27.4,1.0
27.6,1.0
27.8,1.0
28.0,1.0
28.2,1.0
28.4,1.0
28.6,1.0
28.8,1.0
29.0,1.0
29.2,1.0
29.4,1.0
29.6,1.0
29.8,1.0
30.0,1.0
30.2,1.0
30.4,1.0
30.6,1.0
30.8,1.0
31.0,1.0
31.2,1.0
31.4,1.0
31.6,1.0
31.8,1.0
32.0,1.0
32.2,1.0
32.4,1.0
32.6,1.0
32.8,1.0
33.0,1.0
33.2,1.0
33.4,1.0
33.6,1.0
33.8,1.0
34.0,1.0
34.2,1.0
34.4,1.0
34.6,1.0
34.8,1.0
35.0,1.0
35.2,1.0
35.4,1.0
35.6,1.0
35.8,1.0
36.0,1.0
36.2,1.0
36.4,1.0
36.6,1.0
36.8,1.0
37.0,1.0
37.2,1.0
37.4,1.0
37.6,1.0
37.8,1.0
38.0,1.0
38.2,1.0
38.4,1.0
38.6,1.0
38.8,1.0
39.0,1.0
39.2,1.0
39.4,1.0
39.6,1.0
39.8,1.0
40.0,1.0
40.2,1.0
40.4,1.0
40.6,1.0
40.8,1.0
41.0,1.0
41.2,1.0
41.4,1.0
41.6,1.0
41.8,1.0
42.0,1.0
42.2,1.0
42.4,1.0
42.6,1.0
42.8,1.0
43.0,1.0
43.2,1.0
43.4,1.0
43.6,1.0
43.8,1.0
44.0,1.0
44.2,1.0
44.4,1.0
44.6,1.0
44.8,1.0
45.0,1.0
45.2,1.0
45.4,1.0
45.6,1.0
45.8,1.0
46.0,1.0
46.2,1.0
46.4,1.0
46.6,1.0
46.8,1.0
47.0,1.0
47.2,1.0
47.4,1.0
47.6,1.0
47.8,1.0
48.0,1.0
48.2,1.0
48.4,1.0
48.6,1.0
48.8,1.0
49.0,1.0
49.2,1.0
49.4,1.0
49.6,1.0
49.8,1.0
50.0,1.0
50.2,1.0
50.4,1.0
50.6,1.0
50.8,1.0
51.0,1.0
51.2,1.0
51.4,1.0
51.6,1.0
51.8,1.0
52.0,1.0
52.2,1.0
52.4,1.0
52.6,1.0
52.8,1.0
53.0,1.0
53.2,1.0
53.4,1.0
53.6,1.0
53.8,1.0
54.0,1.0
54.2,1.0
54.4,1.0
54.6,1.0
54.8,1.0
55.0,1.0
55.2,1.0
55.4,1.0
55.6,1.0
55.8,1.0
56.0,1.0
56.2,1.0
56.4,1.0
56.6,1.0
56.8,1.0
57.0,1.0
57.2,1.0
57.4,1.0
57.6,1.0
57.8,1.0
58.0,1.0
58.2,1.0
58.4,1.0
58.6,1.0
58.8,1.0
59.0,1.0
59.2,1.0
59.4,1.0
59.6,1.0
59.8,1.0
60.0,1.0
60.2,1.0
60.4,1.0
60.6,1.0
60.8,1.0
61.0,2.0
61.2,2.0
61.4,2.0
61.6,2.0
61.8,2.0
62.0,2.0
62.2,2.0
62.4,2.0
62.6,2.0
62.8,2.0
63.0,2.0
63.2,2.0
63.4,2.0
63.6,2.0
63.8,2.0
64.0,2.0
64.2,2.0
64.4,2.0
64.6,2.0
64.8,2.0
65.0,2.0
65.2,2.0
65.4,2.0
65.6,2.0
65.8,2.0
66.0,2.0
66.2,2.0
66.4,2.0
66.6,2.0
66.8,2.0
67.0,2.0
67.2,3.0
67.4,3.0
67.6,3.0
67.8,3.0
68.0,3.0
68.2,3.0
68.4,3.0
68.6,3.0
68.8,3.0
69.0,3.0
69.2,3.0
69.4,3.0
69.6,3.0
69.8,3.0
70.0,3.0
70.2,3.0
70.4,3.0
70.6,3.0
70.8,3.0
71.0,3.0
71.2,3.0
71.4,3.0
71.6,3.0
71.8,3.0
72.0,3.0
72.2,3.0
72.4,3.0
72.6,3.0
72.8,3.0
73.0,3.0
73.2,3.0
73.4,3.0
73.6,3.0
73.8,3.0
74.0,3.0
74.2,3.0
74.4,3.0
74.6,3.0
74.8,3.0
75.0,3.0
75.2,3.0
75.4,3.0
75.6,3.0
75.8,3.0
76.0,3.0
76.2,3.0
76.4,3.0
76.6,3.0
76.8,3.0
77.0,3.0
77.2,3.0
77.4,3.0
77.6,5.0
77.8,5.0
78.0,5.0
78.2,5.0
78.4,5.0
78.6,5.0
78.8,5.0
79.0,5.0
79.2,5.0
79.4,4.0
79.6,4.0
79.8,4.0
80.0,4.0
80.2,4.0
80.4,4.0
80.6,4.0
80.8,4.0
81.0,4.0
81.2,4.0
81.4,4.0
81.6,4.0
81.8,4.0
82.0,4.0
82.2,4.0
82.4,4.0
82.6,5.0
82.8,5.0
83.0,5.0
83.2,5.0
83.4,5.0
83.6,5.0
83.8,5.0
84.0,5.0
84.2,5.0
84.4,5.0
84.6,6.0
84.8,6.0
85.0,6.0
85.2,6.0
85.4,6.0
85.6,6.0
85.8,6.0
86.0,6.0
86.2,6.0
86.4,6.0
86.6,6.0
86.8,6.0
87.0,6.0
87.2,6.0
87.4,6.0
87.6,6.0
87.8,6.0
88.0,6.0
88.2,6.0
88.4,6.0
88.6,6.0
88.8,6.0
89.0,6.0
89.2,6.0
89.4,6.0
89.6,6.0
89.8,6.0
90.0,6.0
90.2,6.0
90.4,6.0
90.6,6.0
90.8,6.0
91.0,6.0
91.2,6.0
91.4,6.0
91.6,6.0
91.8,6.0
92.0,6.0
92.2,6.0
92.4,6.0
92.6,6.0
92.8,6.0
93.0,6.0
93.2,6.0
93.4,6.0
93.6,6.0
93.8,6.0
94.0,6.0
94.2,6.0
94.4,6.0
94.6,6.0
94.8,6.0
95.0,6.0
95.2,6.0
95.4,6.0
95.6,6.0
95.8,6.0
96.0,6.0
96.2,6.0
